database.name	Term	Genes	P.value	Adjusted.P.value
WikiPathway_2021_Human	Platelet-mediated interactions with vascular and circulating cells WP4462	VCAM1;TGFB1;ICAM1	1.4731568722521896e-6	1.7677882467026276e-4
WikiPathway_2021_Human	Interleukin-11 Signaling Pathway WP2332	TGFB1;FES;ICAM1	2.800398196337928e-5	0.0016802389178027569
WikiPathway_2021_Human	Cells and molecules involved in local acute inflammatory response  WP4493	VCAM1;ICAM1	2.357187816910066e-4	0.009428751267640263
WikiPathway_2021_Human	CAMKK2  Pathway WP4874	VCAM1;ICAM1	9.586858545370535e-4	0.022705667137064397
WikiPathway_2021_Human	Photodynamic therapy-induced NF-kB survival signaling WP3617	VCAM1;ICAM1	0.0010159428226569002	0.022705667137064397
WikiPathway_2021_Human	miRNAs involvement in the immune response in sepsis WP4329	VCAM1;ICAM1	0.0011352833568532199	0.022705667137064397
WikiPathway_2021_Human	IL-3 signaling pathway WP286	TGFB1;PRKACA	0.0019847485989451497	0.029925479330444003
WikiPathway_2021_Human	Netrin-UNC5B signaling pathway WP4747	VCAM1;ICAM1	0.0022323342503811896	0.029925479330444003
WikiPathway_2021_Human	IL-4 signaling pathway WP395	FES;JAK3	0.002405103597341798	0.029925479330444003
WikiPathway_2021_Human	RANKL/RANK signaling pathway WP2018	VCAM1;ICAM1	0.002493789944203667	0.029925479330444003
WikiPathway_2021_Human	Endochondral Ossification with Skeletal Dysplasias WP4808	TGFB1;PRKACA	0.003360302135093165	0.03360302135093165
WikiPathway_2021_Human	Endochondral Ossification WP474	TGFB1;PRKACA	0.003360302135093165	0.03360302135093165
WikiPathway_2021_Human	G Protein Signaling Pathways WP35	GNA13;PRKACA	0.006961191183957296	0.06425714939037504
WikiPathway_2021_Human	Complement system WP2806	PRKACA;ICAM1	0.007551212077549556	0.06472467495042476
WikiPathway_2021_Human	Ketogenesis and Ketolysis WP4742	SLC16A1	0.010750872860949598	0.07695253167208277
WikiPathway_2021_Human	TFs regulate miRNAs related to cardiac hypertrophy WP1559	TGFB1	0.010750872860949598	0.07695253167208277
WikiPathway_2021_Human	Spinal Cord Injury WP2431	TGFB1;ICAM1	0.011002538632022059	0.07695253167208277
WikiPathway_2021_Human	Fragile X Syndrome  WP4549	SLC16A1;PRKACA	0.011542879750812415	0.07695253167208277
WikiPathway_2021_Human	mRNA Processing WP411	SF3A3;SRPK1	0.012469034368661319	0.07875179601259781
WikiPathway_2021_Human	Serotonin Transporter Activity WP1455	SCAMP2	0.01475370275603204	0.08515545238013436
WikiPathway_2021_Human	Mesodermal commitment pathway WP2857	ACVR1;PRKACA	0.016698950569853408	0.08515545238013436
WikiPathway_2021_Human	Control of immune tolerance by vasoactive intestinal peptide WP4484	TGFB1	0.01741358791764657	0.08515545238013436
WikiPathway_2021_Human	ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WP4337	JAK3	0.01741358791764657	0.08515545238013436
WikiPathway_2021_Human	Dopamine metabolism WP2436	PRKACA	0.01741358791764657	0.08515545238013436
WikiPathway_2021_Human	Hepatitis B infection WP4666	TGFB1;JAK3	0.01778474130095642	0.08515545238013436
WikiPathway_2021_Human	Nonalcoholic fatty liver disease WP4396	TGFB1;VCAM1	0.01845034801569578	0.08515545238013436
WikiPathway_2021_Human	Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813	TGFB1	0.02006655846437807	0.0873930427512604
WikiPathway_2021_Human	ACE Inhibitor Pathway WP554	TGFB1	0.02271263147660753	0.0873930427512604
WikiPathway_2021_Human	IL-9 signaling pathway WP22	JAK3	0.02271263147660753	0.0873930427512604
WikiPathway_2021_Human	Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	VCAM1	0.02271263147660753	0.0873930427512604
WikiPathway_2021_Human	Canonical and non-canonical TGF-B signaling WP3874	TGFB1	0.02271263147660753	0.0873930427512604
WikiPathway_2021_Human	Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway WP3670	TGFB1	0.02403308675659661	0.0873930427512604
WikiPathway_2021_Human	TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	TGFB1	0.02403308675659661	0.0873930427512604
WikiPathway_2021_Human	Nicotine Activity on Dopaminergic Neurons WP1602	PRKACA	0.027984153316513986	0.0987675999406376
WikiPathway_2021_Human	STING pathway in Kawasaki-like disease and COVID-19 WP4961	GSDMD	0.029297749526199113	0.10044942694696839
WikiPathway_2021_Human	Estrogen signaling pathway WP712	PRKACA	0.030609636304970163	0.10203212101656721
WikiPathway_2021_Human	IL1 and megakaryocytes in obesity WP2865	ICAM1	0.03191981578702488	0.10352372687683746
WikiPathway_2021_Human	IL-7 signaling pathway WP205	JAK3	0.033228290097006515	0.10368302210735789
WikiPathway_2021_Human	Cytokines and Inflammatory Response WP530	TGFB1	0.034535061360654686	0.10368302210735789
WikiPathway_2021_Human	Follicle Stimulating Hormone (FSH) signaling pathway WP2035	PRKACA	0.03584013171184842	0.10368302210735789
WikiPathway_2021_Human	Interactions between immune cells and microRNAs in tumor microenvironment WP4559	TGFB1	0.037143503267645234	0.10368302210735789
WikiPathway_2021_Human	Selective expression of chemokine receptors during T-cell polarization WP4494	TGFB1	0.038445178147396245	0.10368302210735789
WikiPathway_2021_Human	Lipid Metabolism Pathway WP3965	PRKACA	0.038445178147396245	0.10368302210735789
WikiPathway_2021_Human	Cannabinoid receptor signaling WP3869	PRKACA	0.038445178147396245	0.10368302210735789
WikiPathway_2021_Human	Dopaminergic Neurogenesis WP2855	TGFB1	0.03974515847448719	0.10368302210735789
WikiPathway_2021_Human	Extracellular vesicle-mediated signaling in recipient cells WP2870	TGFB1	0.03974515847448719	0.10368302210735789
WikiPathway_2021_Human	Monoamine Transport WP727	SCAMP2	0.04234004393150865	0.1047238878958003
WikiPathway_2021_Human	MAPK Signaling Pathway WP382	TGFB1;PRKACA	0.04322759437406479	0.1047238878958003
WikiPathway_2021_Human	Signal transduction through IL1R WP4496	TGFB1	0.04363495328991679	0.1047238878958003
WikiPathway_2021_Human	Regucalcin in proximal tubule epithelial kidney cells WP4838	TGFB1	0.04363495328991679	0.1047238878958003
WikiPathway_2021_Human	Type 2 papillary renal cell carcinoma WP4241	TGFB1	0.0449281765490304	0.10571335658595388
WikiPathway_2021_Human	Type II interferon signaling (IFNG) WP619	ICAM1	0.048797750803848496	0.10843944623077444
WikiPathway_2021_Human	Neovascularisation processes WP4331	TGFB1	0.048797750803848496	0.10843944623077444
WikiPathway_2021_Human	Photodynamic therapy-induced HIF-1 survival signaling WP3614	SLC16A1	0.048797750803848496	0.10843944623077444
WikiPathway_2021_Human	G13 Signaling Pathway WP524	GNA13	0.0513690750681718	0.1109043314837094
WikiPathway_2021_Human	IL-18 signaling pathway WP4754	ICAM1;TGM2	0.05175535469239772	0.1109043314837094
WikiPathway_2021_Human	IL-2 signaling pathway WP49	JAK3	0.055213515553328894	0.11423485976550807
WikiPathway_2021_Human	Common Pathways Underlying Drug Addiction WP2636	PRKACA	0.055213515553328894	0.11423485976550807
WikiPathway_2021_Human	Hedgehog Signaling Pathway WP4249	PRKACA	0.05776813633613761	0.1142862510308852
WikiPathway_2021_Human	Aryl Hydrocarbon Receptor Pathway WP2873	TGFB1	0.06031610495649811	0.1142862510308852
WikiPathway_2021_Human	Translation inhibitors in chronically activated PDGFRA cells WP4566	PRKACA	0.06031610495649811	0.1142862510308852
WikiPathway_2021_Human	Envelope proteins and their potential roles in EDMD physiopathology WP4535	TGFB1	0.06031610495649811	0.1142862510308852
WikiPathway_2021_Human	Regulation of Microtubule Cytoskeleton WP2038	PRKACA	0.06031610495649811	0.1142862510308852
WikiPathway_2021_Human	Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	FES	0.06158759990876803	0.1142862510308852
WikiPathway_2021_Human	Differentiation Pathway WP2848	TGFB1	0.06285743806698686	0.1142862510308852
WikiPathway_2021_Human	Exercise-induced Circadian Regulation WP410	SF3A3	0.06285743806698686	0.1142862510308852
WikiPathway_2021_Human	Hepatitis C and Hepatocellular Carcinoma WP3646	TGFB1	0.06412562148920224	0.11485185938364581
WikiPathway_2021_Human	Vitamin B12 metabolism WP1533	ICAM1	0.06539215225886762	0.11539791575094285
WikiPathway_2021_Human	Cardiac Progenitor Differentiation WP2406	TGFB1	0.06918184933137322	0.11950014776522042
WikiPathway_2021_Human	TGF-beta Receptor Signaling WP560	TGFB1	0.0704417901623858	0.11950014776522042
WikiPathway_2021_Human	The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	TGFB1	0.07170008865913224	0.11950014776522042
WikiPathway_2021_Human	Cardiac Hypertrophic Response WP2795	TGFB1	0.07170008865913224	0.11950014776522042
WikiPathway_2021_Human	TGF-beta receptor signaling in skeletal dysplasias WP4816	TGFB1	0.07546515074471088	0.12405230259404529
WikiPathway_2021_Human	MET in type 1 papillary renal cell carcinoma WP4205	JAK3	0.07671690047782503	0.1244057845586352
WikiPathway_2021_Human	Modulators of TCR signaling and T cell activation WP5072	GNA13	0.07921550578349737	0.1267448092535958
WikiPathway_2021_Human	3q29 copy number variation syndrome WP4906	TGFB1	0.08170759918722283	0.12733651821385375
WikiPathway_2021_Human	Lung fibrosis WP3624	TGFB1	0.08170759918722283	0.12733651821385375
WikiPathway_2021_Human	Oncostatin M Signaling Pathway WP2374	JAK3	0.08419319699589127	0.12815034771132983
WikiPathway_2021_Human	Thyroid stimulating hormone (TSH) signaling pathway WP2032	GNA13	0.08543356514088656	0.12815034771132983
WikiPathway_2021_Human	SARS-CoV-2 innate immunity evasion and cell-specific immune response WP5039	TGFB1	0.08543356514088656	0.12815034771132983
WikiPathway_2021_Human	p53 transcriptional gene network WP4963	ICAM1	0.08667231548375737	0.1284034303463072
WikiPathway_2021_Human	Sterol regulatory element-binding proteins (SREBP) signaling WP1982	PRKACA	0.08914497089070929	0.1288842952636761
WikiPathway_2021_Human	Folate Metabolism WP176	ICAM1	0.08914497089070929	0.1288842952636761
WikiPathway_2021_Human	Non-small cell lung cancer WP4255	JAK3	0.09284187114106916	0.13107087690503882
WikiPathway_2021_Human	Primary focal segmental glomerulosclerosis (FSGS) WP2572	TGFB1	0.09284187114106916	0.13107087690503882
WikiPathway_2021_Human	Chromosomal and microsatellite instability in colorectal cancer  WP4216	TGFB1	0.09407095720227293	0.13126180074735758
WikiPathway_2021_Human	Regulatory circuits of the STAT3 signaling pathway WP4538	JAK3	0.1001923729898059	0.13819637653766334
WikiPathway_2021_Human	MicroRNAs in cardiomyocyte hypertrophy WP1544	TGFB1	0.10748550442129846	0.14500157832490715
WikiPathway_2021_Human	Pathways in clear cell renal cell carcinoma WP4018	TGFB1	0.10869547892866405	0.14500157832490715
WikiPathway_2021_Human	Acute viral myocarditis WP4298	TGFB1	0.1099038737594078	0.14500157832490715
WikiPathway_2021_Human	Selenium Micronutrient Network WP15	ICAM1	0.11351960008435957	0.14500157832490715
WikiPathway_2021_Human	Allograft Rejection WP2328	TGFB1	0.11351960008435957	0.14500157832490715
WikiPathway_2021_Human	Pancreatic adenocarcinoma pathway WP4263	TGFB1	0.11351960008435957	0.14500157832490715
WikiPathway_2021_Human	T-cell receptor (TCR) signaling pathway WP69	TGFB1	0.11472169604682494	0.14500157832490715
WikiPathway_2021_Human	VEGFA-VEGFR2 Signaling Pathway WP3888	ICAM1;SRPK1	0.11479291617388483	0.14500157832490715
WikiPathway_2021_Human	Corticotropin-releasing hormone signaling pathway WP2355	TGFB1	0.11831857315266643	0.14789821644083304
WikiPathway_2021_Human	Thyroid hormones production and their peripheral downstream signaling effects WP4746	PRKACA	0.12070866858040177	0.14933031164585786
WikiPathway_2021_Human	Pathways Regulating Hippo Signaling WP4540	PRKACA	0.12428211698541018	0.15218218406376757
WikiPathway_2021_Human	Senescence and Autophagy in Cancer WP615	TGFB1	0.13256586151257074	0.16068589274251
WikiPathway_2021_Human	Thermogenesis WP4321	PRKACA	0.13609289194887605	0.16331147033865126
WikiPathway_2021_Human	DNA damage response (only ATM dependent) WP710	TGFB1	0.13843656903810214	0.164479091926458
WikiPathway_2021_Human	Gastrin signaling pathway WP4659	PRKACA	0.14310556894732926	0.1683594928792109
WikiPathway_2021_Human	ESC Pluripotency Pathways WP3931	ACVR1	0.14543092247454548	0.16943408443636365
