Term	Genes	P.value	Adjusted.P.value
Microglia Pathogen Phagocytosis Pathway WP3937	C1QB;C1QA;HCK;ITGAM;FCER1G;NCF1;SYK;ARPC1B;ITGB2;PLCG2;NCKAP1L;C1QC	2.8395362275183734e-18	5.39511883228491e-16
TYROBP causal network in microglia WP3945	CD84;ITGAM;NRROS;BIN2;PLEK;ITGB2;NCKAP1L;TNFRSF1B;C1QC	5.757734979119477e-11	5.469848230163503e-9
miRNAs involvement in the immune response in sepsis WP4329	NFKBIA;VCAM1;IRF1;LCN2;TLR7;ICAM1	5.734337048447041e-8	3.631746797349793e-6
Interactions between immune cells and microRNAs in tumor microenvironment WP4559	CD86;CCL5;TLR7;IL2RG;TGFBR2	4.665599432619955e-7	2.2161597304944787e-5
Platelet-mediated interactions with vascular and circulating cells WP4462	VCAM1;CCL5;TLR7;ICAM1	2.172251786325811e-6	8.254556788038081e-5
Regulation of toll-like receptor signaling pathway WP1449	CD86;NFKBIA;SYK;CCL5;TIFA;TLR7;CD14	1.4076247978529977e-5	3.9060445866791947e-4
Macrophage markers WP4146	CD86;CD74;CD14	1.4390690582502297e-5	3.9060445866791947e-4
Oxidative Damage WP3941	C1QB;C1QA;TNFRSF1B;C1QC	7.546468032702863e-5	0.0017577179521381283
Fibrin Complement Receptor 3 Signaling Pathway WP4136	ITGAM;SYK;ITGB2;CD14	8.326032404864818e-5	0.0017577179521381283
Cells and molecules involved in local acute inflammatory response  WP4493	VCAM1;ITGB2;ICAM1	1.1271681140315918e-4	0.002141619416660024
Allograft Rejection WP2328	CD86;C1QB;C1QA;FAS;C1QC	1.498510664491869e-4	0.0025883366023041372
B Cell Receptor Signaling Pathway WP23	NFKBIA;PTPRC;SYK;PLCG2;PIK3AP1	2.244827066086528e-4	0.0035543095213036694
Complement Activation WP545	C1QB;C1QA;C1QC	2.500693323021975e-4	0.0035810231993461824
RANKL/RANK signaling pathway WP2018	NFKBIA;VCAM1;SYK;ICAM1	2.63864867320245e-4	0.0035810231993461824
Toll-like Receptor Signaling Pathway WP75	CD86;NFKBIA;CCL5;TLR7;CD14	2.968580466066142e-4	0.0037602019236837795
SARS-CoV-2 innate immunity evasion and cell-specific immune response WP5039	LAG3;CCL5;TLR7;HAVCR2	5.316420202475199e-4	0.0063132489904393
Inflammatory Response Pathway WP453	CD86;IL2RG;TNFRSF1B	6.379442914119447e-4	0.007129965609898205
IL-18 signaling pathway WP4754	NFKBIA;NCF1;IRF1;CCL5;FAS;B2M;ICAM1	9.02941930043531e-4	0.00953105370601505
Type II interferon signaling (IFNG) WP619	IRF1;IRF8;ICAM1	0.00118632136633504	0.0118632136633504
Apoptosis WP254	NFKBIA;IRF1;FAS;TNFRSF1B	0.0013167196162911256	0.012508836354765693
Apoptosis Modulation and Signaling WP1772	NFKBIA;IL1R1;FAS;TNFRSF1B	0.0016991222870621908	0.015373011168657916
Control of immune tolerance by vasoactive intestinal peptide WP4484	CD86;FAS	0.0023695863715329207	0.01957484393875021
Development of pulmonary dendritic cells and macrophage subsets WP3892	IRF8;IKZF1	0.0023695863715329207	0.01957484393875021
IL-3 signaling pathway WP286	CD86;HCK;SYK	0.0026781109781815046	0.02120171191060358
FOXP3 in COVID-19 WP5063	CD86;IL2RG	0.0031663854030102106	0.0240645290628776
IL-4 signaling pathway WP395	NFKBIA;CEBPA;IL2RG	0.00353260376693805	0.025815181373778057
Complement and Coagulation Cascades WP558	C1QB;C1QA;C1QC	0.00432338349077202	0.03042380974987718
Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877	TIFA;TLR7	0.004563160265358056	0.03096430180064395
STING pathway in Kawasaki-like disease and COVID-19 WP4961	GSDMD;NFKBIA	0.006788839592670734	0.04447860422784274
Ebstein-Barr virus LMP1 signaling WP262	NFKBIA;CCL5	0.007408121998314624	0.04691810598932595
IL1 and megakaryocytes in obesity WP2865	IL1R1;ICAM1	0.00805195641224154	0.04935070059115783
Regulatory circuits of the STAT3 signaling pathway WP4538	CSF3R;PTPRC;IL2RG	0.0098264299874279409	0.0583444280503534
Chemokine signaling pathway WP3929	NFKBIA;HCK;NCF1;CCL5	0.014066021883800128	0.07865951569364293
Signal transduction through IL1R WP4496	NFKBIA;IL1R1	0.01490390823669024	0.07865951569364293
Resistin as a regulator of inflammation WP4481	NFKBIA;PLCG2	0.01490390823669024	0.07865951569364293
Host-pathogen interaction of human coronaviruses - interferon induction WP4880	NFKBIA;TLR7	0.01490390823669024	0.07865951569364293
CAMKK2  Pathway WP4874	VCAM1;ICAM1	0.015777595788599556	0.08102008648199771
Photodynamic therapy-induced NF-kB survival signaling WP3617	VCAM1;ICAM1	0.016672754449740836	0.08336377224870418
Vitamin D Receptor Pathway WP2877	CEBPA;ITGAM;IRF8;CD14	0.01983476813064268	0.09663092166210535
IL-2 signaling pathway WP49	SYK;IL2RG	0.023517996922924313	0.10898583939891754
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	NFKBIA;CCL5	0.023517996922924313	0.10898583939891754
IL-6 signaling pathway WP364	HCK;IRF1	0.024575537517548953	0.11117505067462621
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	NFKBIA;HCK	0.028994825266323607	0.12668170002651347
Spinal Cord Injury WP2431	C1QB;IL1R1;ICAM1	0.029336814742982067	0.12668170002651347
Structural Pathway of Interleukin 1 (IL-1) WP2637	NFKBIA;IL1R1	0.03131455034104185	0.13221699032884338
Vitamin B12 metabolism WP1533	CCL5;ICAM1	0.03250109931246501	0.13424367107322505
Netrin-UNC5B signaling pathway WP4747	VCAM1;ICAM1	0.03492640206272318	0.14119183812590225
Ebola Virus Pathway on Host WP4217	CLEC10A;MERTK;HAVCR2	0.03675747461874318	0.1421032974682592
IL-1 signaling pathway WP195	NFKBIA;IL1R1	0.03869142477617919	0.1421032974682592
Pathogenic Escherichia coli infection WP2272	ARPC1B;CD14	0.03869142477617919	0.1421032974682592
Hematopoietic Stem Cell Differentiation WP2849	NCKAP1L;IKZF1	0.03869142477617919	0.1421032974682592
LDLRAD4 and what we know about it WP4904	TGFBR2	0.038891428780786726	0.1421032974682592
PI3K-Akt signaling pathway WP4172	CSF3R;SYK;SGK1;IL2RG;PIK3AP1	0.043843533286571514	0.1531178175698497
Ketogenesis and Ketolysis WP4742	UCP2	0.044323578770219654	0.1531178175698497
Canonical NF-KB pathway WP4562	NFKBIA	0.044323578770219654	0.1531178175698497
Modulators of TCR signaling and T cell activation WP5072	GNA13;NFKBIA	0.04665677887186548	0.15829978545811502
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863	NFKBIA;PTPRC	0.04803822593505056	0.16012741978350187
Supression of HMGB1 mediated inflammation by THBD WP4479	NFKBIA	0.049725297661304714	0.1601323145025067
Role of Altered Glycolysation of MUC1 in Tumour Microenvironment WP4480	NFKBIA	0.049725297661304714	0.1601323145025067
MAPK Signaling Pathway WP382	IL1R1;FAS;CD14;TGFBR2	0.050974281762193645	0.1612479401166898
