Term	Genes	P.value	Adjusted.P.value
Thermogenesis WP4321	SMARCB1;PRDM16;ADCY3;ADCY6	0.00253008473199725	0.08315971727030047
Phosphodiesterases in neuronal function WP4222	PDE10A;ADCY3;ADCY6	0.0027223550891451766	0.08315971727030047
Major receptors targeted by epinephrine and norepinephrine WP4589	ADCY3;ADCY6	0.0027415291407791365	0.08315971727030047
Envelope proteins and their potential roles in EDMD physiopathology WP4535	ADCY3;ADCY6	0.024319706131421533	0.41156301190304767
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	DHCR24;SREBF2	0.024319706131421533	0.41156301190304767
Metastatic brain tumor WP2249	E2F3	0.031093091576432783	0.41156301190304767
Cerebral organic acidurias, including diseases WP4519	D2HGDH	0.03618136368378441	0.41156301190304767
Cholesterol Biosynthesis with Skeletal Dysplasias WP4804	DHCR24	0.03618136368378441	0.41156301190304767
FTO Obesity Variant Mechanism WP3407	PRDM16	0.0412431688635261	0.4170142629534306
Disorders of Folate Metabolism and Transport WP4259	MTHFD1	0.06615993190395807	0.4388587896633207
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	SREBF2	0.08080099759100413	0.4388587896633207
Mitochondrial LC-Fatty Acid Beta-Oxidation WP368	ACADM	0.0856306472143875	0.4388587896633207
G Protein Signaling Pathways WP35	ADCY3;ADCY6	0.08589413923697932	0.4388587896633207
Thyroid hormones production and their peripheral downstream signaling effects WP4746	PRDM16;ADCY3	0.08905715060038116	0.4388587896633207
B Cell Receptor Signaling Pathway WP23	E2F3;GAB2	0.0922544728259519	0.4388587896633207
Apoptosis Modulation by HSP70 WP384	AIFM1	0.09521467023268682	0.4388587896633207
Imatinib and Chronic Myeloid Leukemia WP3640	GAB2	0.09996930200784186	0.4388587896633207
Nanomaterial induced apoptosis WP2507	AIFM1	0.09996930200784186	0.4388587896633207
Nicotine Activity on Dopaminergic Neurons WP1602	CHRNA4	0.104699185171912	0.4388587896633207
Nanoparticle triggered autophagic cell death WP2509	ATG9B	0.11408521522248792	0.4388587896633207
Differentiation of white and brown adipocyte WP2895	PRDM16	0.12337377315653474	0.4388587896633207
PPAR-alpha pathway WP2878	ACADM	0.12798181377597367	0.4388587896633207
Eicosanoid Synthesis WP167	PTGES	0.13256586151257074	0.4388587896633207
mRNA Processing WP411	SUGP2;SRPK1	0.1418590363460411	0.4388587896633207
Eicosanoid metabolism via cyclooxygenases (COX) WP4719	PTGES	0.14617528140858763	0.4388587896633207
One-carbon metabolism WP241	MTHFD1	0.14617528140858763	0.4388587896633207
Trans-sulfuration and one-carbon metabolism WP2525	MTHFD1	0.15066458849071662	0.4388587896633207
Tumor suppressor activity of SMARCB1 WP4204	SMARCB1	0.15066458849071662	0.4388587896633207
22q11.2 copy number variation syndrome WP4657	ASF1A;SREBF2	0.15090851911570427	0.4388587896633207
Pregnane X receptor pathway WP2876	NCOA3	0.15957318158205405	0.4388587896633207
Fatty acid beta-oxidation WP143	ACADM	0.1639927081485295	0.4388587896633207
BDNF-TrkB Signaling WP3676	GAB2	0.1639927081485295	0.4388587896633207
Melatonin metabolism and effects WP3298	CRY1	0.1771136386190957	0.4388587896633207
Male infertility WP4673	MTHFD1;BRDT	0.17868426824875416	0.4388587896633207
Calcium Regulation in the Cardiac Cell WP536	ADCY3;ADCY6	0.18622260914896432	0.4388587896633207
Breast cancer pathway WP4262	NCOA3;E2F3	0.19380592881521627	0.4388587896633207
Myometrial relaxation and contraction pathways WP289	ADCY3;ADCY6	0.19761286011162013	0.4388587896633207
IL-2 signaling pathway WP49	GAB2	0.1985300783713575	0.4388587896633207
Tryptophan metabolism WP465	DHCR24	0.1985300783713575	0.4388587896633207
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	CHRNA4;ACADM	0.2014291452268104	0.4388587896633207
EGF/EGFR signaling pathway WP437	NCOA3;GAB2	0.20908736477873327	0.4388587896633207
Nephrotic syndrome WP4758	E2F3	0.21111396918352443	0.4388587896633207
Prostaglandin Synthesis and Regulation WP98	PTGES	0.21111396918352443	0.4388587896633207
Chemokine signaling pathway WP3929	ADCY3;ADCY6	0.21292812173248357	0.4388587896633207
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	GAB2	0.2193943051257534	0.4388587896633207
Exercise-induced Circadian Regulation WP410	CRY1	0.2235021324797859	0.4388587896633207
IL-3 signaling pathway WP286	GAB2	0.22758854778675142	0.4388587896633207
Nuclear Receptors Meta-Pathway WP2882	FGFBP1;NCOA3;ACADM	0.23519101383989516	0.4388587896633207
IL-4 signaling pathway WP395	GAB2	0.24770329237259123	0.4388587896633207
Interferon type I signaling pathways WP585	GAB2	0.24770329237259123	0.4388587896633207
RANKL/RANK signaling pathway WP2018	GAB2	0.2516635369291826	0.4388587896633207
Mitochondrial complex I assembly model OXPHOS system WP4324	NDUFS3	0.2556031314183557	0.4388587896633207
Kit receptor signaling pathway WP304	GAB2	0.2672990783728057	0.4388587896633207
Oxidative phosphorylation WP623	NDUFS3	0.2711571337015696	0.4388587896633207
Modulators of TCR signaling and T cell activation WP5072	SMARCB1	0.2749950667407361	0.4388587896633207
Genotoxicity pathway WP4286	DAAM1	0.2826109813678469	0.4388587896633207
G1 to S cell cycle control WP45	E2F3	0.2863891692593614	0.4388587896633207
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680	DAAM1	0.29388651788198195	0.4388587896633207
Thyroid stimulating hormone (TSH) signaling pathway WP2032	ADCY3	0.29388651788198195	0.4388587896633207
PPAR signaling pathway WP3942	ACADM	0.2976058818286556	0.4388587896633207
Melanoma WP4685	E2F3	0.3013058400434301	0.4388587896633207
Sterol regulatory element-binding proteins (SREBP) signaling WP1982	SREBF2	0.3049864928333661	0.4388587896633207
Folate Metabolism WP176	MTHFD1	0.3049864928333661	0.4388587896633207
Glucocorticoid Receptor Pathway WP2880	FGFBP1	0.3086479399829948	0.4388587896633207
Non-small cell lung cancer WP4255	E2F3	0.3159136138079709	0.44227905933115924
Prolactin Signaling Pathway WP2037	GAB2	0.3302188270238341	0.4553017160480137
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	PDGFD	0.3579462763148083	0.46261147480553116
Pathways in clear cell renal cell carcinoma WP4018	TOX2	0.36133126956586015	0.46261147480553116
Retinoblastoma gene in cancer WP2446	E2F3	0.36804831613681116	0.46261147480553116
Selenium Micronutrient Network WP15	SELENOS	0.37469538340660674	0.46261147480553116
Pancreatic adenocarcinoma pathway WP4263	E2F3	0.37469538340660674	0.46261147480553116
Androgen receptor signaling pathway WP138	NCOA3	0.37799290078449876	0.46261147480553116
Apoptosis Modulation and Signaling WP1772	AIFM1	0.37799290078449876	0.46261147480553116
T-cell receptor (TCR) signaling pathway WP69	GAB2	0.37799290078449876	0.46261147480553116
Amino Acid metabolism WP3925	ACADM	0.38127319352104216	0.46261147480553116
VEGFA-VEGFR2 Signaling Pathway WP3888	CTNND1;SLC7A1;SRPK1	0.39640521365406695	0.4696774623211779
Small cell lung cancer WP4658	E2F3	0.3974193911948428	0.4696774623211779
Wnt signaling pathway and pluripotency WP399	CTNND1	0.4162447522844623	0.4830201343373375
Electron Transport Chain (OXPHOS system in mitochondria) WP111	NDUFS3	0.4193251715675787	0.4830201343373375
Wnt signaling WP428	DAAM1	0.4550578527891267	0.5176283075476316
Cell cycle WP179	E2F3	0.4692955570795539	0.5272332801757952
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	SREBF2	0.5019803567323206	0.5570757617395266
Integrated breast cancer pathway WP1984	NCOA3	0.5520816072226971	0.6052942922562101
Nonalcoholic fatty liver disease WP4396	NDUFS3	0.5591531429931211	0.6057492382425479
Ciliopathies WP4803	ADCY6	0.6200441214438884	0.6582234258874797
Ras signaling WP4223	GAB2	0.6220573035859698	0.6582234258874797
Focal Adhesion WP306	PDGFD	0.6491570567643967	0.6770284203320994
Circadian rhythm related genes WP3594	CRY1	0.6547088020793927	0.6770284203320994
Ciliary landscape WP4352	DNPEP	0.6811888276786132	0.6964964417837506
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	PDGFD	0.7995382505890946	0.8084220089289733
PI3K-Akt signaling pathway WP4172	PDGFD	0.8355382458673667	0.8355382458673667
Vasopressin-regulated water reabsorption	DCTN6;ADCY3;ADCY6	0.001592560963543944	0.19269987658881724
Thermogenesis	SMARCB1;PRDM16;NDUFS3;ADCY3;ADCY6	0.0075990447371007104	0.2960129675756444
Phospholipase D signaling pathway	PDGFD;ADCY3;GAB2;ADCY6	0.0077268955080724	0.2960129675756444
Gap junction	PDGFD;ADCY3;ADCY6	0.011174230857859667	0.2960129675756444
Morphine addiction	PDE10A;ADCY3;ADCY6	0.012231940808910925	0.2960129675756444
