Term	Genes	P.value	Adjusted.P.value
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	MAP3K2;PRKAB2;FASN;MAP3K9;CBL	0.0023771857410897603	0.25863165462511634
Male infertility WP4673	CCNT2;MTHFR;CDC42BPA;CLOCK;PUM2	0.0036685341081576788	0.25863165462511634
Thermogenesis WP4321	PRKAB2;ADCY9;KDM3B;ARID1B	0.007029439999894003	0.31676059646011046
Prader-Willi and Angelman Syndrome WP3998	HERC2;NIPA1;MDM4	0.008986116211634339	0.31676059646011046
Sterol regulatory element-binding proteins (SREBP) signaling WP1982	PRKAB2;FASN;SEC23B	0.012563929858100073	0.35430282199842206
Lipid Metabolism Pathway WP3965	PRKAB2;FASN	0.01745588055799187	0.399066598105136
Ethanol effects on histone modifications WP3996	HDAC4;MTHFR	0.019811816927205333	0.399066598105136
Envelope proteins and their potential roles in EDMD physiopathology WP4535	ADCY9;MAP3K9	0.04120707665047083	0.48641308339697886
LDLRAD4 and what we know about it WP4904	LDLRAD4	0.04798973670836404	0.48641308339697886
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	HIF1AN	0.04798973670836404	0.48641308339697886
Caloric restriction and aging WP4191	PRKAB2	0.054656125906441574	0.48641308339697886
15q11.2 copy number variation syndrome WP4940	NIPA1	0.06127616634057289	0.48641308339697886
Cytosine methylation WP3585	TET3	0.06127616634057289	0.48641308339697886
Folate-Alcohol and Cancer Pathway Hypotheses WP1589	MTHFR	0.06127616634057289	0.48641308339697886
Liver X receptor pathway WP2874	FASN	0.06785017773889719	0.48641308339697886
Modulators of TCR signaling and T cell activation WP5072	GNA13;AGO1	0.06812367858299519	0.48641308339697886
3q29 copy number variation syndrome WP4906	CEP350;MYCBP2	0.07205722155564159	0.48641308339697886
Endoderm differentiation WP2853	MBTD1;ATP8B2;RFX7	0.07662329527179146	0.48641308339697886
AMP-activated protein kinase (AMPK) signaling WP1403	PRKAB2;FASN	0.08427831959326143	0.48641308339697886
Disorders of Folate Metabolism and Transport WP4259	MTHFR	0.0872992029804689	0.48641308339697886
Ganglio Sphingolipid Metabolism WP1423	ST8SIA1	0.0872992029804689	0.48641308339697886
Genes targeted by miRNAs in adipocytes WP1992	HDAC4	0.0872992029804689	0.48641308339697886
Calcium Regulation in the Cardiac Cell WP536	SLC8A3;ADCY9;ARRB1	0.08838308199046438	0.48641308339697886
Omega-9 FA synthesis WP4724	FASN	0.09369225280452934	0.48641308339697886
Major receptors targeted by epinephrine and norepinephrine WP4589	ADCY9	0.1000408402258	0.48641308339697886
Insulin Signaling WP481	MAP3K2;MAP3K9;CBL	0.10227854510967402	0.48641308339697886
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	FASN	0.1063452722007835	0.48641308339697886
Pathways of nucleic acid metabolism and innate immune sensing WP4705	ADAR	0.1063452722007835	0.48641308339697886
Glioblastoma signaling pathways WP2261	MDM4;CBL	0.11264052822124299	0.48641308339697886
TCA Cycle (aka Krebs or citric acid cycle) WP78	IDH3B	0.11882288723970202	0.48641308339697886
Proteoglycan biosynthesis WP4784	CANT1	0.11882288723970202	0.48641308339697886
Overview of nanoparticle effects WP3287	NFRKB	0.12499667381420397	0.48641308339697886
FOXA2 pathway WP5066	FASN	0.13721569834851785	0.48641308339697886
Globo Sphingolipid Metabolism WP1424	ST8SIA1	0.13721569834851785	0.48641308339697886
Corticotropin-releasing hormone signaling pathway WP2355	ERN1;ARRB1	0.13826117310823158	0.48641308339697886
G Protein Signaling Pathways WP35	GNA13;ADCY9	0.13826117310823158	0.48641308339697886
Fatty Acid Biosynthesis WP357	FASN	0.1432615275311786	0.48641308339697886
Unfolded protein response WP4925	ERN1	0.15522728253499068	0.48641308339697886
MTHFR deficiency WP4288	MTHFR	0.16114778751609565	0.48641308339697886
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	NR2C2	0.16114778751609565	0.48641308339697886
7q11.23 copy number variation syndrome WP4932	VPS37A;SF3B1	0.16499761610494065	0.48641308339697886
1q21.1 copy number variation syndrome WP4905	PRKAB2	0.17286548540176871	0.48641308339697886
Photodynamic therapy-induced unfolded protein response WP3613	ERN1	0.17286548540176871	0.48641308339697886
Autophagy WP4923	PRKAB2	0.19013799233428016	0.48641308339697886
Matrix Metalloproteinases WP129	TCF20	0.19013799233428016	0.48641308339697886
One-carbon metabolism WP241	MTHFR	0.19013799233428016	0.48641308339697886
Trans-sulfuration and one-carbon metabolism WP2525	MTHFR	0.19581553454919778	0.48641308339697886
Tumor suppressor activity of SMARCB1 WP4204	ARID1B	0.19581553454919778	0.48641308339697886
GABA receptor Signaling WP4159	GABRB2	0.19581553454919778	0.48641308339697886
Gastric Cancer Network 2 WP2363	FAM91A1	0.19581553454919778	0.48641308339697886
Initiation of transcription and translation elongation at the HIV-1 LTR WP3414	HDAC4	0.2014535566507171	0.48641308339697886
MAPK Cascade WP422	MAP3K2	0.20705233176446308	0.48641308339697886
Fluoropyrimidine Activity WP1601	MTHFR	0.20705233176446308	0.48641308339697886
CAMKK2  Pathway WP4874	HDAC4	0.2126121311159233	0.48641308339697886
p38 MAPK Signaling Pathway WP400	MAP3K9	0.2126121311159233	0.48641308339697886
Target Of Rapamycin (TOR) Signaling WP1471	PRKAB2	0.22361587827815235	0.48641308339697886
Host-pathogen interaction of human coronaviruses - MAPK signaling WP4877	MAP3K9	0.22361587827815235	0.48641308339697886
Melatonin metabolism and effects WP3298	CLOCK	0.22906035932406685	0.48641308339697886
Photodynamic therapy-induced HIF-1 survival signaling WP3614	HIF1AN	0.22906035932406685	0.48641308339697886
mBDNF and proBDNF regulation of GABA neurotransmission WP4829	GABRB2	0.2344669311015277	0.48641308339697886
Nuclear receptors WP170	NR2C2	0.2344669311015277	0.48641308339697886
Kisspeptin/kisspeptin receptor system in the ovary WP4871	ARRB1	0.2398358557221469	0.48641308339697886
G13 Signaling Pathway WP524	GNA13	0.2398358557221469	0.48641308339697886
ATM Signaling Pathway WP2516	MDM4	0.24516739343862784	0.48641308339697886
Oxidative Damage WP3941	MAP3K9	0.24516739343862784	0.48641308339697886
Vitamin D-sensitive calcium signaling in depression WP4698	KCNQ2	0.2504618027261238	0.48641308339697886
IL-2 signaling pathway WP49	CBL	0.25571934029807014	0.48641308339697886
Splicing factor NOVA regulated synaptic proteins WP4148	KCNQ2	0.25571934029807014	0.48641308339697886
Metabolic reprogramming in colon cancer WP4290	FASN	0.25571934029807014	0.48641308339697886
Hedgehog Signaling Pathway WP4249	ARRB1	0.2661248183396091	0.48641308339697886
Renin-angiotensin-aldosterone system (RAAS) WP4756	CAMK1G	0.2661248183396091	0.48641308339697886
ATM Signaling Network in Development and Disease  WP3878	HDAC4	0.2712732634608439	0.48641308339697886
Mesodermal commitment pathway WP2857	MBTD1;ATP8B2	0.27497191832851753	0.48641308339697886
